name,market,asset_type,status,capacity_mw,latitude,longitude,county,state,interconnection_node,pricing_hub_node,estimated_lcoe,offtake_price_mwh,overall_score,price_score,location_score,curtailment_score,interconnection_score,regulatory_score,financial_score,environmental_score,grid_stability_score,demand_proximity_score,development_risk_score
Caribou 2,CAISO,hydro,active,117.90,40.085997,-121.149373,Plumas,CA,NP15,NP15,,,70.24,55.15,57.15,95.91,70.61,50.00,75.84,89.31,50.00,67.69,56.22
Centerville PH,CAISO,hydro,active,6.40,39.788877,-121.657383,Butte,CA,NP15,NP15,,,64.81,55.15,57.15,95.91,70.61,50.00,53.77,75.39,50.00,41.61,56.22
Chili Bar,CAISO,hydro,active,8.30,38.771764,-120.813239,El Dorado,CA,NP15,NP15,,,65.30,55.15,57.15,95.91,70.61,50.00,55.74,76.63,50.00,43.94,56.22
Coleman PH,CAISO,hydro,active,12.10,40.404645,-122.121904,Shasta,CA,NP15,NP15,,,66.00,55.15,57.15,95.91,70.61,50.00,58.60,78.43,50.00,47.31,56.22
Cresta,CAISO,hydro,active,73.80,39.825907,-121.409687,Butte,CA,NP15,NP15,,,69.37,55.15,57.15,95.91,70.61,50.00,72.29,87.07,50.00,63.49,56.22
De Sabla,CAISO,hydro,active,18.40,39.869265,-121.631819,Butte,CA,NP15,NP15,,,66.78,55.15,57.15,95.91,70.61,50.00,61.77,80.43,50.00,51.06,56.22
Deer Creek PH,CAISO,hydro,active,5.50,39.298070,-120.844300,Nevada,CA,NP15,NP15,,,64.53,55.15,57.15,95.91,70.61,50.00,52.62,74.66,50.00,40.26,56.22
Drum 1,CAISO,hydro,active,49.20,39.256873,-120.767437,Placer,CA,NP15,NP15,,,68.61,55.15,57.15,95.91,70.61,50.00,69.22,85.13,50.00,59.86,56.22
Drum 2,CAISO,hydro,active,53.10,39.257388,-120.767046,Placer,CA,NP15,NP15,,,68.76,55.15,57.15,95.91,70.61,50.00,69.80,85.50,50.00,60.55,56.22
Dutch Flat,CAISO,hydro,active,22.00,39.216985,-120.835587,Placer,CA,NP15,NP15,,,67.12,55.15,57.15,95.91,70.61,50.00,63.13,81.29,50.00,52.66,56.22
El Dorado,CAISO,hydro,active,20.00,38.793574,-120.619152,El Dorado,CA,NP15,NP15,,,66.94,55.15,57.15,95.91,70.61,50.00,62.40,80.83,50.00,51.81,56.22
Electra,CAISO,hydro,active,102.50,38.330985,-120.669901,Amador,CA,NP15,NP15,,,69.98,55.15,57.15,95.91,70.61,50.00,74.78,88.64,50.00,66.43,56.22
Haas,CAISO,hydro,active,135.00,36.927424,-119.020250,Fresno,CA,NP15,NP15,,,70.50,55.15,57.15,95.91,70.61,50.00,76.87,89.95,50.00,68.90,56.22
Halsey,CAISO,hydro,active,13.60,38.956985,-121.041932,Placer,CA,NP15,NP15,,,66.22,55.15,57.15,95.91,70.61,50.00,59.48,78.99,50.00,48.36,56.22
Hamilton Branch,CAISO,hydro,active,5.30,40.268712,-121.089479,Plumas,CA,NP15,NP15,,,64.46,55.15,57.15,95.91,70.61,50.00,52.34,74.49,50.00,39.92,56.22
Hat Creek 1,CAISO,hydro,active,10.00,40.929297,-121.544462,Shasta,CA,NP15,NP15,,,65.65,55.15,57.15,95.91,70.61,50.00,57.15,77.52,50.00,45.61,56.22
Hat Creek 2,CAISO,hydro,active,10.00,40.960675,-121.548657,Shasta,CA,NP15,NP15,,,65.65,55.15,57.15,95.91,70.61,50.00,57.15,77.52,50.00,45.61,56.22
Humboldt Bay,CAISO,natural_gas,active,167.00,40.741500,-124.210300,Humboldt,CA,NP15,NP15,,,67.66,56.28,57.15,95.62,72.61,50.00,80.68,12.00,50.00,70.80,56.22
Inskip,CAISO,hydro,active,7.60,40.400988,-121.965502,Tehama,CA,NP15,NP15,,,65.13,55.15,57.15,95.91,70.61,50.00,55.07,76.21,50.00,43.15,56.22
James B Black,CAISO,hydro,active,168.60,40.992295,-121.975182,Shasta,CA,NP15,NP15,,,70.91,55.15,57.15,95.91,70.61,50.00,78.55,91.01,50.00,70.89,56.22
Kerckhoff,CAISO,hydro,active,22.60,37.092486,-119.552826,Fresno,CA,NP15,NP15,,,67.16,55.15,57.15,95.91,70.61,50.00,63.33,81.41,50.00,52.90,56.22
Kings River PH,CAISO,hydro,active,48.60,36.888166,-119.158777,Fresno,CA,NP15,NP15,,,68.59,55.15,57.15,95.91,70.61,50.00,69.13,85.07,50.00,59.75,56.22
Merced Falls,CAISO,hydro,active,3.40,37.523010,-120.329905,Merced,CA,NP15,NP15,,,63.63,55.15,57.15,95.91,70.61,50.00,48.98,72.37,50.00,35.95,56.22
Dynegy Moss Landing Power Plant Hybrid,CAISO,storage,active,750.00,36.804837,-121.782241,Monterey,CA,NP15,NP15,,,69.95,66.41,57.15,94.48,66.61,50.00,84.85,12.00,50.00,84.24,56.22
Dynegy Moss Landing Power Plant Hybrid,CAISO,natural_gas,active,1398.00,36.804837,-121.782241,Monterey,CA,NP15,NP15,,,70.90,56.28,57.15,95.62,72.61,50.00,95.00,12.00,50.00,89.82,56.22
Murphys,CAISO,hydro,active,3.60,38.147093,-120.446396,Calaveras,CA,NP15,NP15,,,63.74,55.15,57.15,95.91,70.61,50.00,49.41,72.64,50.00,36.46,56.22
Narrows PH,CAISO,hydro,active,10.20,39.236400,-121.271741,Nevada,CA,NP15,NP15,,,65.68,55.15,57.15,95.91,70.61,50.00,57.30,77.61,50.00,45.78,56.22
Phoenix,CAISO,hydro,active,1.60,38.032103,-120.326537,Tuolumne,CA,NP15,NP15,,,62.23,55.15,57.15,95.91,70.61,50.00,43.27,68.76,50.00,29.21,56.22
Pit 1,CAISO,hydro,active,69.20,40.990840,-121.498243,Shasta,CA,NP15,NP15,,,69.25,55.15,57.15,95.91,70.61,50.00,71.81,86.76,50.00,62.92,56.22
Pit 3,CAISO,hydro,active,80.10,40.997448,-121.748139,Shasta,CA,NP15,NP15,,,69.52,55.15,57.15,95.91,70.61,50.00,72.91,87.46,50.00,64.23,56.22
Pit 4,CAISO,hydro,active,103.40,40.986361,-121.849440,Shasta,CA,NP15,NP15,,,70.00,55.15,57.15,95.91,70.61,50.00,74.85,88.68,50.00,66.51,56.22
Pit 5,CAISO,hydro,active,141.60,40.986197,-121.977594,Shasta,CA,NP15,NP15,,,70.58,55.15,57.15,95.91,70.61,50.00,77.23,90.18,50.00,69.32,56.22
Pit 6,CAISO,hydro,active,79.20,40.922568,-121.992906,Shasta,CA,NP15,NP15,,,69.50,55.15,57.15,95.91,70.61,50.00,72.83,87.41,50.00,64.13,56.22
Pit 7,CAISO,hydro,active,109.80,40.847462,-121.990798,Shasta,CA,NP15,NP15,,,70.11,55.15,57.15,95.91,70.61,50.00,75.30,88.97,50.00,67.05,56.22
Poe,CAISO,hydro,active,142.80,39.722892,-121.469814,Butte,CA,NP15,NP15,,,70.60,55.15,57.15,95.91,70.61,50.00,77.29,90.22,50.00,69.40,56.22
Potter Valley,CAISO,hydro,active,9.40,39.361786,-123.127934,Mendocino,CA,NP15,NP15,,,65.53,55.15,57.15,95.91,70.61,50.00,56.68,77.22,50.00,45.05,56.22
Rock Creek,CAISO,hydro,active,126.00,39.905210,-121.345226,Plumas,CA,NP15,NP15,,,70.37,55.15,57.15,95.91,70.61,50.00,76.35,89.62,50.00,68.28,56.22
San Joaquin 2,CAISO,hydro,active,2.80,37.203233,-119.497508,Madera,CA,NP15,NP15,,,63.27,55.15,57.15,95.91,70.61,50.00,47.51,71.44,50.00,34.21,56.22
San Joaquin 3,CAISO,hydro,active,4.00,37.253718,-119.519352,Madera,CA,NP15,NP15,,,63.94,55.15,57.15,95.91,70.61,50.00,50.21,73.14,50.00,37.41,56.22
Salt Springs,CAISO,hydro,active,42.00,38.497914,-120.218110,Amador,CA,NP15,NP15,,,68.32,55.15,57.15,95.91,70.61,50.00,68.02,84.38,50.00,58.45,56.22
South,CAISO,hydro,active,6.70,40.395396,-121.879186,Tehama,CA,NP15,NP15,,,64.90,55.15,57.15,95.91,70.61,50.00,54.12,75.61,50.00,42.02,56.22
Spaulding 1,CAISO,hydro,active,7.00,39.324613,-120.644807,Nevada,CA,NP15,NP15,,,64.98,55.15,57.15,95.91,70.61,50.00,54.45,75.82,50.00,42.41,56.22
Spaulding 2,CAISO,hydro,active,3.70,39.324592,-120.645375,Nevada,CA,NP15,NP15,,,63.79,55.15,57.15,95.91,70.61,50.00,49.62,72.77,50.00,36.71,56.22
Spaulding 3,CAISO,hydro,active,6.60,39.337679,-120.635467,Nevada,CA,NP15,NP15,,,64.87,55.15,57.15,95.91,70.61,50.00,54.01,75.53,50.00,41.89,56.22
Spring Gap,CAISO,hydro,active,6.00,38.186530,-120.111680,Tuolumne,CA,NP15,NP15,,,64.69,55.15,57.15,95.91,70.61,50.00,53.28,75.08,50.00,41.03,56.22
Stanislaus,CAISO,hydro,active,81.90,38.139048,-120.370325,Tuolumne,CA,NP15,NP15,,,69.56,55.15,57.15,95.91,70.61,50.00,73.08,87.57,50.00,64.43,56.22
Geysers Unit 5-20,CAISO,geothermal,active,1163.00,38.777000,-122.745000,Sonoma,CA,NP15,NP15,,,74.92,55.71,57.15,96.20,72.61,50.00,95.00,95.00,50.00,88.17,56.22
Tiger Creek,CAISO,hydro,active,52.20,38.449291,-120.492645,Amador,CA,NP15,NP15,,,68.72,55.15,57.15,95.91,70.61,50.00,69.67,85.41,50.00,60.39,56.22
Tule River,CAISO,hydro,active,8.40,36.163076,-118.707104,Tulare,CA,NP15,NP15,,,65.32,55.15,57.15,95.91,70.61,50.00,55.83,76.69,50.00,44.05,56.22
Volta 1,CAISO,hydro,active,8.50,40.459111,-121.867080,Shasta,CA,NP15,NP15,,,65.34,55.15,57.15,95.91,70.61,50.00,55.92,76.74,50.00,44.15,56.22
West Point PH,CAISO,hydro,active,13.60,38.420898,-120.549572,Amador,CA,NP15,NP15,,,66.22,55.15,57.15,95.91,70.61,50.00,59.48,78.99,50.00,48.36,56.22
Wise,CAISO,hydro,active,16.40,38.889862,-121.098525,Placer,CA,NP15,NP15,,,66.57,55.15,57.15,95.91,70.61,50.00,60.90,79.88,50.00,50.03,56.22
A G Wishon,CAISO,hydro,active,12.80,37.151050,-119.504724,Madera,CA,NP15,NP15,,,66.11,55.15,57.15,95.91,70.61,50.00,59.02,78.70,50.00,47.82,56.22
AES Alamitos LLC,CAISO,natural_gas,active,1115.00,33.768800,-118.100900,Los Angeles,CA,SP15,SP15,,,60.50,46.27,49.21,93.33,47.43,50.00,93.57,12.00,50.00,87.79,25.00
Big Creek 1,CAISO,hydro,active,88.40,37.204200,-119.239600,Fresno,CA,SP15,SP15,,,59.45,45.35,49.21,93.33,45.43,50.00,72.18,87.93,50.00,65.11,25.00
Big Creek 2,CAISO,hydro,active,66.60,37.200000,-119.306900,Fresno,CA,NP15,NP15,,,69.18,55.15,57.15,95.91,70.61,50.00,71.52,86.58,50.00,62.57,56.22
Big Creek 3,CAISO,hydro,active,174.50,37.148517,-119.386623,Fresno,CA,NP15,NP15,,,70.97,55.15,57.15,95.91,70.61,50.00,78.81,91.18,50.00,71.19,56.22
Big Creek 4,CAISO,hydro,active,100.00,37.139000,-119.489800,Madera,CA,NP15,NP15,,,69.94,55.15,57.15,95.91,70.61,50.00,74.60,88.52,50.00,66.21,56.22
