name,market,asset_type,status,capacity_mw,latitude,longitude,county,state,interconnection_node,pricing_hub_node,estimated_lcoe,offtake_price_mwh,overall_score,price_score,location_score,curtailment_score,interconnection_score,regulatory_score,financial_score,environmental_score,grid_stability_score,demand_proximity_score,development_risk_score,commissioning_year
Hays Energy Project (U2),ERCOT,natural_gas,active,241.7,29.7806,-97.9894,Hays,TX,,,,,,,,,,,,,,,,2002
Hays Energy Project (U3),ERCOT,natural_gas,active,252.8,29.7806,-97.9894,Hays,TX,,,,,,,,,,,,,,,,2002
Hays Energy Project (U4),ERCOT,natural_gas,active,252.8,29.7806,-97.9894,Hays,TX,,,,,,,,,,,,,,,,2002
La Paloma Generating Plant (GEN1),CAISO,natural_gas,active,289.0,35.2956,-119.5919,Kern,CA,,,,,,,,,,,,,,,,2003
La Paloma Generating Plant (GEN2),CAISO,natural_gas,active,289.0,35.2956,-119.5919,Kern,CA,,,,,,,,,,,,,,,,2003
La Paloma Generating Plant (GEN3),CAISO,natural_gas,active,289.0,35.2956,-119.5919,Kern,CA,,,,,,,,,,,,,,,,2003
La Paloma Generating Plant (GEN4),CAISO,natural_gas,active,289.0,35.2956,-119.5919,Kern,CA,,,,,,,,,,,,,,,,2003
Guadalupe Generating Station (CTG1),ERCOT,natural_gas,active,171.1,29.6244,-98.1419,Guadalupe,TX,,,,,,,,,,,,,,,,2000
Guadalupe Generating Station (CTG2),ERCOT,natural_gas,active,171.1,29.6244,-98.1419,Guadalupe,TX,,,,,,,,,,,,,,,,2000
Guadalupe Generating Station (CTG3),ERCOT,natural_gas,active,171.1,29.6244,-98.1419,Guadalupe,TX,,,,,,,,,,,,,,,,2000
Guadalupe Generating Station (CTG4),ERCOT,natural_gas,active,171.1,29.6244,-98.1419,Guadalupe,TX,,,,,,,,,,,,,,,,2000
Guadalupe Generating Station (STG1),ERCOT,natural_gas,active,201.9,29.6244,-98.1419,Guadalupe,TX,,,,,,,,,,,,,,,,2000
Guadalupe Generating Station (STG2),ERCOT,natural_gas,active,201.9,29.6244,-98.1419,Guadalupe,TX,,,,,,,,,,,,,,,,2000
Lost Pines 1 Power Project (CTA),ERCOT,natural_gas,active,202.5,30.1478,-97.2714,Bastrop,TX,,,,,,,,,,,,,,,,2001
